SID,SEASON,GEN_TIME,GEN_LAT,GEN_LON,GEN_NATURE,MAX_TIME,MAX_LAT,MAX_LON,MAX_INTENSITY_KT
1842298N11080,1842,1842-10-25 03:00:00,10.9,80.3,NR,,,,
1845336N10074,1845,1845-12-02 03:00:00,10.0,74.3,NR,,,,
1848011S09079,1848,1848-01-11 06:00:00,-9.0,79.0,NR,,,,
1848011S09080,1848,1848-01-11 06:00:00,-8.6,79.8,NR,,,,
1848011S15057,1848,1848-01-11 06:00:00,-15.2,57.4,NR,,,,
1848011S16057,1848,1848-01-11 06:00:00,-15.8,56.8,NR,,,,
1848061S12075,1848,1848-02-29 18:00:00,-11.5,75.0,NR,,,,
1848112S07084,1848,1848-04-21 06:00:00,-6.7,83.8,NR,,,,
1848112S07444,1848,1848-04-20 18:00:00,-7.1,83.7,NR,,,,
1851080S15062,1851,1851-03-20 18:00:00,-15.0,62.4,NR,,,,
1851080S15063,1851,1851-03-21 06:00:00,-15.1,62.5,NR,,,,
1851080S21060,1851,1851-03-21 06:00:00,-21.2,59.5,NR,,,,
1851080S21420,1851,1851-03-20 18:00:00,-21.3,59.5,NR,,,,
1851175N26270,1851,1851-06-23 12:00:00,26.1,-90.4,TS,1851-06-25 00:00:00,27.5,-94.3,80.0
1851181N19275,1851,1851-06-29 12:00:00,19.0,-84.6,TS,,,,
1851187N22262,1851,1851-07-05 12:00:00,22.2,-97.6,TS,1851-07-05 12:00:00,22.2,-97.6,80.0
1851192N12300,1851,1851-07-10 12:00:00,12.0,-60.0,TS,1851-07-10 12:00:00,12.0,-60.0,50.0
1851214N14321,1851,1851-08-01 12:00:00,13.5,-39.0,TS,,,,
1851228N13313,1851,1851-08-16 00:00:00,13.4,-47.2,TS,1851-08-23 00:00:00,27.4,-86.4,100.0
1851241N27280,1851,1851-08-28 12:00:00,27.0,-80.0,TS,,,,
1851250N20278,1851,1851-09-06 12:00:00,20.0,-82.0,TS,,,,
1851254N34316,1851,1851-09-10 12:00:00,34.2,-44.2,TS,,,,
1851256N26265,1851,1851-09-12 12:00:00,25.5,-95.5,TS,,,,
1851256N33287,1851,1851-09-13 00:00:00,32.5,-73.5,TS,1851-09-13 00:00:00,32.5,-73.5,50.0
1851260N32298,1851,1851-09-16 12:00:00,31.5,-62.5,TS,,,,
1851283N24298,1851,1851-10-09 12:00:00,23.7,-61.6,TS,,,,
1851289N29282,1851,1851-10-16 00:00:00,28.7,-78.0,TS,1851-10-17 00:00:00,30.7,-76.6,60.0
1851305S08089,1852,1851-11-01 06:00:00,-8.3,88.6,NR,,,,
1851309N19282,1851,1851-11-04 12:00:00,19.1,-77.6,TS,,,,
1852001S12077,1852,1852-01-01 06:00:00,-12.2,77.3,NR,,,,
1852001S13076,1852,1852-01-01 06:00:00,-12.7,76.3,NR,,,,
1852021S14075,1852,1852-01-21 06:00:00,-13.8,75.3,NR,,,,
1852232N21293,1852,1852-08-19 00:00:00,20.6,-67.3,TS,1852-08-24 00:00:00,26.1,-85.7,100.0
1852241N34278,1852,1852-08-28 06:00:00,33.6,-82.5,TS,,,,
1852247N14309,1852,1852-09-03 06:00:00,14.0,-51.2,TS,1852-09-09 00:00:00,25.1,-85.3,70.0
1852247N32318,1852,1852-09-02 12:00:00,32.0,-42.5,TS,,,,
1852249N17296,1852,1852-09-05 00:00:00,17.0,-64.1,TS,1852-09-05 00:00:00,17.0,-64.1,70.0
1852264N13309,1852,1852-09-20 00:00:00,13.0,-50.6,TS,1852-09-25 00:00:00,19.6,-66.7,80.0
1852266N17274,1852,1852-09-21 12:00:00,16.8,-86.1,TS,,,,
1852271N15328,1852,1852-09-26 12:00:00,15.0,-31.9,TS,,,,
1852273N11295,1852,1852-09-28 12:00:00,11.0,-65.5,TS,,,,
1852278N14293,1852,1852-10-03 12:00:00,14.0,-67.0,TS,1852-10-06 00:00:00,17.2,-75.9,90.0
1852331N24274,1852,1852-11-26 00:00:00,23.5,-86.2,TS,,,,
1853216N26294,1853,1853-08-03 12:00:00,25.5,-66.5,TS,1853-08-05 12:00:00,33.3,-69.2,50.0
1853223N12300,1853,1853-08-10 12:00:00,12.0,-60.0,TS,1853-08-10 12:00:00,12.0,-60.0,40.0
1853228N14322,1853,1853-08-15 12:00:00,14.4,-38.5,TS,,,,
1853238N18281,1853,1853-08-25 12:00:00,17.6,-78.7,TS,,,,
1853239N11302,1853,1853-08-26 12:00:00,10.5,-58.5,TS,,,,
1853242N12336,1853,1853-08-30 00:00:00,11.8,-23.9,TS,1853-09-03 06:00:00,18.6,-54.5,130.0
1853245N34311,1853,1853-09-02 00:00:00,33.5,-49.0,TS,,,,
1853251N24274,1853,1853-09-07 12:00:00,23.8,-86.0,TS,,,,
1853251N37307,1853,1853-09-08 00:00:00,37.0,-53.0,TS,1853-09-08 00:00:00,37.0,-53.0,100.0
1853264N20268,1853,1853-09-20 12:00:00,19.5,-92.5,TS,1853-09-21 12:00:00,20.3,-94.7,50.0
1853268N27293,1853,1853-09-24 12:00:00,26.5,-67.5,TS,,,,
1853269N26298,1853,1853-09-26 00:00:00,25.8,-62.0,TS,1853-09-27 12:00:00,36.0,-59.8,70.0
1853270N14327,1853,1853-09-26 12:00:00,14.4,-32.6,TS,1853-09-28 12:00:00,15.6,-37.0,50.0
1853291N32280,1853,1853-10-17 18:00:00,31.5,-80.5,SS,1853-10-20 12:00:00,29.8,-80.2,90.0
1853318N20288,1853,1853-11-13 12:00:00,20.5,-72.0,TS,,,,
1854032S17059,1854,1854-02-01 06:00:00,-17.3,59.3,NR,,,,
1854039S18060,1854,1854-02-07 18:00:00,-17.6,59.6,NR,,,,
1854060S15069,1854,1854-03-01 06:00:00,-15.3,69.0,NR,,,,
1854060S16069,1854,1854-02-28 18:00:00,-15.8,69.1,NR,,,,
1854176N26268,1854,1854-06-25 00:00:00,26.0,-92.5,TS,1854-06-25 12:00:00,25.6,-93.4,70.0
1854207N28267,1854,1854-07-25 12:00:00,27.8,-93.5,TS,,,,
1854236N33305,1854,1854-08-23 12:00:00,33.0,-55.0,TS,1854-08-23 12:00:00,33.0,-55.0,60.0
1854246N25300,1854,1854-09-02 12:00:00,24.5,-59.8,TS,1854-09-07 00:00:00,27.4,-76.6,110.0
1854253N14303,1854,1854-09-09 12:00:00,14.0,-57.5,TS,,,,
1854253N35280,1854,1854-09-10 06:00:00,35.4,-80.0,TS,,,,
1854258N13329,1854,1854-09-15 06:00:00,12.7,-31.0,TS,,,,
1854259N24266,1854,1854-09-16 06:00:00,24.4,-94.3,TS,1854-09-18 00:00:00,27.8,-95.5,90.0
1854279N12297,1854,1854-10-05 12:00:00,12.0,-62.8,TS,,,,
1854287N18296,1854,1854-10-13 12:00:00,17.5,-64.3,TS,,,,
1854293N25292,1854,1854-10-20 00:00:00,25.0,-67.6,TS,1854-10-21 00:00:00,28.6,-67.3,60.0
1854303N14072,1854,1854-10-30 03:00:00,13.7,72.2,NR,,,,
1854305S10073,1855,1854-10-31 18:00:00,-10.4,73.1,NR,,,,
1854309N22294,1854,1854-11-04 12:00:00,22.0,-65.8,TS,,,,
1854325S10073,1855,1854-11-21 06:00:00,-10.1,73.1,NR,,,,
1855021S14076,1855,1855-01-21 06:00:00,-14.0,75.6,NR,,,,
1855021S15057,1855,1855-01-21 06:00:00,-14.7,57.4,NR,,,,
1855121S08073,1855,1855-04-30 18:00:00,-7.8,73.2,NR,,,,
1855131S08073,1855,1855-05-11 06:00:00,-7.6,73.4,NR,,,,
1855206N22263,1855,1855-07-24 12:00:00,21.8,-97.0,TS,,,,
1855215N30272,1855,1855-08-03 06:00:00,30.1,-88.2,TS,,,,
1855219N22262,1855,1855-08-06 12:00:00,22.2,-98.0,TS,1855-08-06 12:00:00,22.2,-98.0,90.0
1855222N44318,1855,1855-08-10 00:00:00,44.0,-42.0,TS,1855-08-10 00:00:00,44.0,-42.0,90.0
1855224N13277,1855,1855-08-11 12:00:00,12.5,-83.0,TS,1855-08-11 12:00:00,12.5,-83.0,70.0
1855236N12304,1855,1855-08-24 00:00:00,11.6,-55.8,TS,1855-08-25 00:00:00,13.1,-60.2,60.0
